,0,1,2,3,4,5,6,7,8,9,10,11
0,1654326000000,29694.90000000,29705.81000000,29646.27000000,29700.96000000,478.26152000,1654329599999,14195002.22263730,18640,243.72376000,7233991.02929530,0
1,1654329600000,29700.96000000,29800.00000000,29681.16000000,29750.03000000,825.71662000,1654333199999,24563013.61708390,25209,444.93387000,13235138.63637560,0
2,1654333200000,29750.03000000,29771.32000000,29673.64000000,29724.96000000,884.11620000,1654336799999,26280045.30242660,24095,388.20809000,11538252.66504230,0
3,1654336800000,29724.96000000,29791.04000000,29706.70000000,29729.90000000,831.17642000,1654340399999,24718324.70395230,20020,395.66446000,11767366.32957530,0
4,1654340400000,29729.90000000,29742.09000000,29594.91000000,29681.69000000,897.04996000,1654343999999,26628773.10637700,24020,404.22184000,11997586.97886040,0
5,1654344000000,29681.68000000,29703.64000000,29516.01000000,29538.00000000,1134.57345000,1654347599999,33585960.31690840,30457,483.91991000,14327096.28803690,0
6,1654347600000,29538.00000000,29654.52000000,29522.99000000,29596.11000000,960.73462000,1654351199999,28438036.00396340,24470,497.49244000,14726862.54176220,0
7,1654351200000,29596.11000000,29988.88000000,29485.00000000,29777.32000000,2794.76263000,1654354799999,83102069.98546410,48666,1496.42089000,44510363.06092960,0
8,1654354800000,29777.31000000,29888.01000000,29750.29000000,29858.80000000,1492.70826000,1654358399999,44512851.23576500,31184,836.35616000,24939868.71904870,0
9,1654358400000,29858.79000000,29858.80000000,29747.63000000,29751.41000000,1138.48775000,1654361999999,33915169.97828520,23935,553.63732000,16492371.31781930,0
10,1654362000000,29751.41000000,29755.24000000,29613.26000000,29712.52000000,1017.79595000,1654365599999,30213719.22068310,25928,465.06399000,13803466.71814000,0
11,1654365600000,29712.52000000,29799.82000000,29712.51000000,29768.67000000,762.28045000,1654369199999,22692765.52756270,21303,428.03570000,12742065.21650300,0
12,1654369200000,29768.68000000,29775.37000000,29634.05000000,29655.41000000,741.55965000,1654372799999,22021738.02419550,20472,416.20493000,12359080.32578720,0
13,1654372800000,29655.41000000,29750.00000000,29632.05000000,29749.77000000,620.23887000,1654376399999,18427306.65540920,19144,366.38936000,10885976.41920470,0
14,1654376400000,29749.77000000,29862.57000000,29745.51000000,29846.33000000,612.78480000,1654379999999,18252237.40810160,21694,314.07769000,9355801.79370220,0
15,1654380000000,29846.33000000,29977.99000000,29791.65000000,29808.01000000,1658.35818000,1654383599999,49565483.88778960,32927,893.27418000,26701188.47581620,0
16,1654383600000,29808.02000000,29869.40000000,29771.22000000,29864.04000000,748.91257000,1654387199999,22322699.59372810,20184,381.18657000,11362877.72395200,0
17,1654387200000,29864.03000000,29897.18000000,29729.37000000,29740.64000000,782.85069000,1654390799999,23349817.18851750,22985,332.30139000,9913917.06346850,0
18,1654390800000,29740.64000000,29755.23000000,29681.85000000,29691.74000000,862.23099000,1654394399999,25622114.42993110,24250,361.80756000,10751102.68532050,0
19,1654394400000,29691.73000000,29799.99000000,29678.50000000,29793.99000000,592.84149000,1654397999999,17647917.24350510,18763,289.93365000,8629088.83843110,0
20,1654398000000,29793.99000000,29819.95000000,29748.88000000,29766.95000000,474.10191000,1654401599999,14118223.40545680,16829,202.38809000,6026458.65562830,0
21,1654401600000,29766.95000000,29782.19000000,29686.00000000,29722.90000000,646.57341000,1654405199999,19218658.43596460,18484,288.84831000,8584896.99110310,0
22,1654405200000,29722.90000000,29819.85000000,29722.89000000,29793.95000000,439.88382000,1654408799999,13101501.56761220,17203,240.07109000,7149990.83696300,0
23,1654408800000,29793.94000000,29796.83000000,29763.73000000,29772.71000000,148.04960000,1654412399999,4408943.08241820,7581,59.71769000,1778304.97736220,0
